,Timestamp,Amount,Account Type,Bank,LFD,Category,Place,Account,DR_CR
0,2022-10-30 16:27:00,173956,CREDIT,ICICI,7008,MISC,RAZ*UPGRAD,CREDIT-ICICI-7008,DR
1,2022-09-16 07:08:00,122960,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
2,2022-08-24 19:38:00,121634,BANK,AXIS,7057,COMPANY BENFITS,FISERV INDIA,BANK-AXIS-7057,CR
3,2022-11-15 10:54:00,101765,BANK,ICICI,6838,CREDIT,BLOCPAL,BANK-ICICI-6838,CR
4,2022-12-30 13:42:00,100000,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
5,2023-02-03 13:51:00,100000,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
6,2022-09-24 09:05:00,77719,CREDIT,ICICI,7008,SHOPPING,FLIPKART,CREDIT-ICICI-7008,DR
7,2022-05-31 11:21:00,64849,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
8,2021-08-31 11:13:00,64065,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
9,2022-04-29 12:19:00,56578,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
10,2022-03-31 15:06:00,55731,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
11,2022-06-30 13:08:00,55659,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
12,2021-09-30 11:16:00,54516,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
13,2023-02-05 12:59:00,54344,BANK,ICICI,6838,BILLS,CREDCLUB1,BANK-ICICI-6838,DR
14,2022-01-31 12:03:00,52451,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
15,2022-02-28 16:10:00,52210,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
16,2022-04-03 11:37:00,52137,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
17,2022-10-31 13:28:00,52000,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
18,2021-10-29 11:15:00,51876,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
19,2021-12-31 07:04:00,51182,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
20,2021-11-30 13:59:00,50794,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
21,2019-07-10 13:31:00,49000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
22,2022-11-27 20:03:00,48900,CREDIT,AXIS,6891,SHOPPING,IWATCH,CREDIT-AXIS-6891,DR
23,2023-02-01 15:09:00,48500,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
24,2021-03-20 11:51:00,45000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
25,2022-07-13 12:09:00,44500,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
26,2021-07-30 12:09:00,43414,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
27,2021-04-30 19:05:00,40989,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
28,2019-04-17 17:40:00,40000,BANK,AXIS,7057,CREDIT,AXIF33193B39A064B44,BANK-AXIS-7057,CR
29,2021-08-14 09:28:00,39000,BANK,AXIS,7057,CREDIT,ARCHNA SI,BANK-AXIS-7057,CR
30,2022-10-29 07:04:00,37331,BANK,ICICI,6838,CREDIT,EXIDE LIFE IN,BANK-ICICI-6838,CR
31,2021-03-31 12:33:00,37285,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
32,2020-12-31 07:32:00,37265,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
33,2020-05-29 08:05:00,36630,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
34,2021-08-14 09:34:00,36482,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
35,2021-02-26 20:32:00,35090,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
36,2020-12-10 14:07:00,35000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
37,2019-09-23 14:02:00,35000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
38,2022-01-03 13:00:00,35000,BANK,ICICI,6838,CREDIT,HOUSE-EXPENSE SETTLEMENT,BANK-ICICI-6838,CR
